Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
1140.62,-9.39077,-12.2734,-367.825,54.1812,-367,52
1146.7,-9.39077,-12.2734,-367.825,54.1812,-366,51
1152.78,-9.39077,-12.2734,-367.825,54.1812,-366,50
1158.63,-9.39077,-12.2734,-367.825,54.1812,-366,49
1164.75,-9.39077,-12.2734,-367.825,54.1812,-365,49
1170.63,-9.39077,-12.2734,-367.825,54.1812,-365,49
1176.63,-18.8734,-7.64474,112.135,435.797,-365,49
1182.69,-18.8734,-7.64474,112.135,435.797,-364,49
1188.77,-18.8734,-7.64474,112.135,435.797,-356,50
1194.69,-18.8734,-7.64474,112.135,435.797,-337,56
1200.78,-18.8734,-7.64474,112.135,435.797,-306,72
1206.74,-18.8734,-7.64474,112.135,435.797,-265,103
1212.83,-18.8734,-7.64474,112.135,435.797,-211,146
1218.79,-18.8734,-7.64474,112.135,435.797,-144,198
1224.91,-18.8734,-7.64474,112.135,435.797,-73,254
1230.85,-18.8734,-7.64474,112.135,435.797,-11,301
1236.85,-18.8734,-7.64474,112.135,435.797,37,343
1242.91,-18.8734,-7.64474,112.135,435.797,72,377
1248.75,-18.8734,-7.64474,112.135,435.797,96,399
1254.67,-18.8734,-7.64474,112.135,435.797,109,413
1261.42,-29.0767,-2.77643,163.454,439.761,114,419
1267.92,-29.0767,-2.77643,163.454,439.761,116,421
1273.8,-29.0767,-2.77643,163.454,439.761,127,426
1279.92,-29.0767,-2.77643,163.454,439.761,146,435
1285.8,-29.0767,-2.77643,163.454,439.761,161,442
1291.92,-29.0767,-2.77643,163.454,439.761,166,444
1297.72,-29.0767,-2.77643,163.454,439.761,167,446
1303.78,-29.0767,-2.77643,163.454,439.761,168,447
1309.78,-29.0767,-2.77643,163.454,439.761,169,447
1315.78,-29.0767,-2.77643,163.454,439.761,169,448
1321.86,-29.0767,-2.77643,163.454,439.761,169,448
1327.81,-29.0767,-2.77643,163.454,439.761,169,448
1335.01,-29.0767,-2.77643,163.454,439.761,169,448
1341.11,-39.9312,2.76856,163.454,439.761,170,449
1346.82,-39.9312,2.76856,219.55,391.339,170,449
1352.95,-39.9312,2.76856,219.55,391.339,173,448
1358.75,-39.9312,2.76856,219.55,391.339,183,443
1364.74,-39.9312,2.76856,219.55,391.339,201,433
1370.75,-39.9312,2.76856,219.55,391.339,214,424
1376.69,-39.9312,2.76856,219.55,391.339,219,421
1382.75,-39.9312,2.76856,219.55,391.339,221,419
1388.73,-39.9312,2.76856,219.55,391.339,221,418
1394.7,-39.9312,2.76856,219.55,391.339,222,418
1400.83,-39.9312,2.76856,219.55,391.339,222,417
1406.81,-39.9312,2.76856,219.55,391.339,223,416
1413.36,-50.1048,9.68745,272.045,283.05,223,415
1418.79,-50.1048,9.68745,272.045,283.05,223,414
1424.79,-50.1048,9.68745,272.045,283.05,225,406
1430.83,-50.1048,9.68745,272.045,283.05,230,385
1436.79,-50.1048,9.68745,272.045,283.05,242,349
1442.75,-50.1048,9.68745,272.045,283.05,256,313
1448.97,-50.1048,9.68745,272.045,283.05,266,288
1454.87,-50.1048,9.68745,272.045,283.05,270,278
1460.9,-50.1048,9.68745,272.045,283.05,272,275
1466.87,-50.1048,9.68745,272.045,283.05,272,274
1472.98,-50.1048,9.68745,272.045,283.05,272,273
1478.87,-50.1048,9.68745,272.045,283.05,272,272
1484.87,-50.1048,9.68745,272.045,283.05,273,272
1490.8,-50.1048,9.68745,272.045,283.05,274,272
1497.74,-50.1048,9.68745,272.045,283.05,274,271
1503.99,-58.9566,17.999,309.612,300.901,274,271
1509.85,-58.9566,17.999,309.612,300.901,274,271
1515.82,-58.9566,17.999,309.612,300.901,280,272
1521.83,-58.9566,17.999,309.612,300.901,292,275
1527.73,-58.9566,17.999,309.612,300.901,301,276
1533.9,-58.9566,17.999,309.612,300.901,305,276
1539.92,-58.9566,17.999,309.612,300.901,306,276
1545.86,-58.9566,17.999,309.612,300.901,307,276
1551.82,-58.9566,17.999,309.612,300.901,307,276
1557.83,-58.9566,17.999,309.612,300.901,307,276
1563.87,-58.9566,17.999,309.612,300.901,307,276
1569.83,-58.9566,17.999,309.612,300.901,307,277
1575.76,-58.9566,17.999,309.612,300.901,307,277
1581.85,-67.1255,26.529,351.504,158.757,307,277
1587.83,-67.1255,26.529,351.504,158.757,307,278
1594.01,-67.1255,26.529,351.504,158.757,309,274
1599.91,-67.1255,26.529,351.504,158.757,317,262
1605.76,-67.1255,26.529,351.504,158.757,328,233
1611.76,-67.1255,26.529,351.504,158.757,336,207
1617.88,-67.1255,26.529,351.504,158.757,342,194
1623.86,-67.1255,26.529,351.504,158.757,344,190
1629.96,-67.1255,26.529,351.504,158.757,345,187
1635.96,-67.1255,26.529,351.504,158.757,345,187
1641.89,-67.1255,26.529,351.504,158.757,345,186
1647.93,-67.1255,26.529,351.504,158.757,345,186
1653.78,-67.1255,26.529,351.504,158.757,345,185
1660.96,-74.5185,34.838,386.362,75.6121,345,184
1666.85,-74.5185,34.838,386.362,75.6121,345,183
1672.96,-74.5185,34.838,386.362,75.6121,347,176
1678.9,-74.5185,34.838,386.362,75.6121,354,155
1684.91,-74.5185,34.838,386.362,75.6121,364,122
1691.04,-74.5185,34.838,386.362,75.6121,374,93
1696.92,-74.5185,34.838,386.362,75.6121,380,78
1702.86,-74.5185,34.838,386.362,75.6121,383,75
1708.91,-74.5185,34.838,386.362,75.6121,384,74
1714.93,-74.5185,34.838,386.362,75.6121,385,73
1721.05,-74.5185,34.838,386.362,75.6121,385,72
1726.94,-74.5185,34.838,386.362,75.6121,385,71
1735.81,-74.5185,34.838,386.362,75.6121,385,71
1741.81,-74.5185,34.838,386.362,75.6121,385,71
1747.91,-80.5653,44.3143,413.492,-33.539,385,71
1754.07,-80.5653,44.3143,413.492,-33.539,385,69
1759.95,-80.5653,44.3143,413.492,-33.539,387,57
1765.88,-80.5653,44.3143,413.492,-33.539,393,29
1771.88,-80.5653,44.3143,413.492,-33.539,401,-3
